ID,Group,Prior,meanRT
1,1,1,6690.875
1,1,2,6995.75
2,1,1,7471.5
2,1,2,12699
3,1,1,5045.375
3,1,2,10242.14286
4,1,1,9709.714286
4,1,2,15559.71429
5,1,1,13133.14286
5,1,2,13715.5
6,1,1,8846.75
6,1,2,17963.71429
7,1,1,3406.625
7,1,2,12790
8,2,1,9794.625
8,2,2,14133.5
9,2,1,11891.66667
9,2,2,15460.57143
10,2,1,6680.428571
10,2,2,7428.125
11,2,1,4638
11,2,2,7282.428571
12,2,1,14737.42857
12,2,2,17588.2
13,2,1,10142.83333
13,2,2,16339.83333
14,2,1,19690.5
14,2,2,30098.5
15,2,1,5297.428571
15,2,2,7795.714286
16,2,1,15596
16,2,2,30295
17,2,1,7834.125
17,2,2,14550.16667
18,2,1,3638.625
18,2,2,19011
19,2,1,4974.25
19,2,2,8235.571429
20,2,1,3739.875
20,2,2,7840.142857
